Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Limits,Zip Code,Introduced by Council Member(s),Biographical Information,Notes
POINT (-73.96520112499996 40.79098411500007),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Manhattan,Catherine “Katy” Ferguson Way,,At the intersection of West 95th Street and Central Park West,10025,Brewer,Catherine “Katy” Ferguson was born into slavery but later secured her own freedom when she moved to New York City and made an arrangement with a congregant at the Second Presbyterian Church. The church was very active in the abolitionist movement at,
POINT (-73.86411508299994 40.69183846800007),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Union Course Racetrack,,At the southwest corner of Jamaica Avenue and 78th Street,11421,Holden,"Union Course Racetrack opened on October 15, 1821, in Woodhaven Queens. It was the first dirt racetrack in the United States and was the site of one of the earliest and most famous races between Northern and Southern bred horses. It also served as an arm",
POINT (-73.81772920199995 40.77647772500006),Int. No. 1054,02/25/2016,2016,2016/023,Intersection,Queens,Charles Lucania Memorial Way,,At the northwest corner of 149th Street and Willets Point Boulevard,11357,Vallone,"Charles Lucania was killed in the terrorist attacks on September 11, 2001.  He was on the 98th floor of the South Tower working for P.E. Stone.",
POINT (-73.76380096799994 40.671637807000025),Int. No. 1300,01/20/2019,2019,2019/024,Intersection,Queens,Rev. Dr. Freddie Brunswick Sr. Way,,At the intersection of 140th Avenue and 180th Street,11434,Richards,"Rev. Freddie Brunswick was born in Jacksonville, Florida.  He was drafted into the United States Military and served until 1949.  After having attended the National Baptist Convention in New York City, he moved to Harlem, New York in 1951 and joined the",
POINT (-73.95431324599997 40.70950168400003),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Brooklyn,Detective Wilbert Mora Street,,At the intersection of Keap Street and South 3rd Street,11211,Gutiérrez,"Wilbert Mora served with the New York City Police Department for four years and was assigned to the 32nd Precinct. He, along with his partner Detective Jason Rivera were killed in the line of duty responding to a domestic dispute in Harlem.",
POINT (-73.84652699899993 40.72696451300004),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Rabbi Dr. Asher Murciano Way,,At the northwest corner of 108th Street and 68th Avenue,11375,Koslowitz,"Rabbi Dr. Asher Murciano was the Rabbi for the Sephardic Jewish Center for 67 years making him the country’s longest serving Sephardic rabbi of the same congregation. Additionally, he was a noted rabbinical scholar. He was sent to Menkes, Morocco, to t",
POINT (-73.95515797399997 40.59220079800008),Int. No. 877-A,12/29/2008,2008,2008/064,Intersection,Brooklyn,Mother Maria J. Fisher Way,,At the corner of East 15th Street and Avenue X,11235,Nelson,"Mother Maria J. Fisher led the struggle to construct the first Baptist Church in Sheepshead Bay in 1899. Being an extremely religious woman and well respected for the religious services she held at an empty lot at East 15th Street and Avenue X, she attra",
POINT (-74.13088049799995 40.62105713700004),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Staten Island,Mimi Cusick Way,,At the intersection of College Avenue and Ohio Place,10314,Carr,Mimi Cusick was very active in the Democratic Party on Staten Island. She organized many volunteers to work on campaigns and ran Democratic County Committee meetings. She worked as a school safety officer at PS 30 and PS 22 for 20 years. She was also ver,
POINT (-73.89747239399998 40.86761207600006),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,Johnny Pacheco Way,,At the southeast corner of Jerome Avenue and Kingsbridge Avenue,10468,Cabrera,"Johnny Pacheco cofounded Fania Records in 1964, which exposed many talented Latin artists. He was a songwriter, arranger and leader of the Fania All Stars, salsa’s first supergroup. He was the recipient of numerous awards and honors both in the Dominic",
POINT (-74.20091059699996 40.53014219000005),Int. No. 746-A,12/29/2005,2005,2005/131,Intersection,Staten Island,"Detective Salvatore J. Cafiso, III Avenue",,NW corner of Queensdale Avenue and Albourne Avenue,10309,Lanza,"Salvatore Cafiso was deeply respected and loved by his family, the members of his community and the brave men and women with whom he served in the NYPD.  Detective Cafiso paid the ultimate sacrifice to keep his Staten Island community safe when he was ki",
POINT (-73.96569963999997 40.768544648000045),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Manhattan,Dorothy Kilgallen Way,,At the intersection of 68th Street and Park Avenue,10065,Powers and Holden,"Dorothy Kilgallen was a columnist, journalist and television game show panelist. She covered President Franklin Delano Roosevelt’s first presidential campaign in 1932 and the trial of Richard Hauptmann, the man convicted of kidnapping and killing the L",
POINT (-73.87858025599996 40.82601266000006),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,Luis Angel “Supa” Torres Way,,At the southeast corner of Watson Avenue and Elder Avenue,10472,Salamanca,"Luis Angel Torres worked at and became the manager of the Prospect theater in the Bronx, a theater that showed movies in Spanish and hosted famous musicians. In his role as manager, helped many people get jobs and access to resources. He left that job in",
POINT (-73.76422031499999 40.606753784000034),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Queens,Darryl E. Greene Way,,At the intersection of Bay 25th Street and Bayswater Avenue,11691,Brooks-Powers,"Darryl Greene was a community leader for diversity and inclusion, a lifelong activist for minorities in the construction industry, and a towering figure in the history of New York City. He was an author for Article 15-A of the Executive Law, which create",
POINT (-74.19640498899997 40.54116901000003),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Staten Island,Judge David Frey Way,,At the intersection of Sheldon Avenue and Huguenot Avenue,10312,Borelli,"David Frey attended PS 8 and Barnes Intermediate School in Great Kills, and graduated in 1984 from Tottenville High School. He earned a bachelor’s degree in biomedical engineering and a master’s degree in business administration from Rensselaer Polyt",
POINT (-73.89733515399996 40.86746985800005),Int. No. 620,02/05/2015,2015,2015/015,Intersection,Bronx,Luis Muñoz Marín Way,,At the intersection of Kingsbridge Road and Jerome Avenue,10468,Cabrera,"Luis Muñoz Marín was a Puerto Rican poet, journalist, politician and statesman who was considered the “Architect of the Commonwealth.”   He was the first democratically elected Governor of Puerto Rico.  He was briefly involved with the Socialist Pa",
POINT (-73.94878772699997 40.797484746000066),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Manhattan,111th Street Old Timers Way,,At the intersection of 111th Street and Fifth Avenue,10026,Ayala and Perkins,"The 111th Street Old Timers organization has coordinated the longest running block party in East Harlem, which brings together thousands of visitors each year in celebration of the community, culture, and tradition.  For 50 years, this neighborhood event",
POINT (-73.88612957199996 40.726156434000075),Int. No. 968,07/20/2024,2024,2024/081,Intersection,Queens,Margaret and Joseph Magnus Way,,At the intersection of 75th Street and 58th Avenue,11379,Holden,"Joseph Magnus was the co-founder of the Middle Village Volunteer Ambulance Corps. When he was 13 years old living in Czechoslovakia during World War II, his life was very difficult. In 1944, the Russians had beaten the Germans back to the small Czech tow",
POINT (-73.99579930799996 40.57767858900007),Int. No. 620,02/05/2015,2015,2015/015,Intersection,Brooklyn,Brother Jack SanFilippo Way,,At the intersection of West 29th Street and Neptune Avenue,11224,Treyger,"Jack A. SanFilippo, known as “Brother Jack,” founded the Coney Island Gospel Assembly in 1956.  Before its founding, Jack preached on the streets of Coney Island and was known for his practice of walking around the community preaching and praying for",
POINT (-73.84459291499996 40.846334246000026),Int. No. 1102-A,07/23/2023,2023,2023/110,Intersection,Bronx,Sylvia Lask Way,,At the intersection of Eastchester Road and Waters Place,10461,Velázquez,Sylvia Lask became very active in the Democratic Party and was elected District Leader. She began working for Eliot Engel after he was elected to the NY Assembly and ran many campaigns out of her living room. She was a delegate to two Democratic Conventi,
POINT (-73.73982914399994 40.705294869000056),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Queens,Rev. Charles W. Mixon Way,,At the intersection of 112th Avenue and Springfield Boulevard,11429,Comrie,"Rev. Charles Mixon was pastor of the Maranatha Baptist Church, which he founded and built into an institution for 27 years.   When he started the church, there were seven members, and that including himself and his wife.  Today, there are approximately 1",
POINT (-73.93926517299997 40.841632451000066),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Manhattan,Isaiah “Obie” Bing Way,,At the intersection of 169th Street and St. Nicholas Avenue,10032,Rodriguez,"Isaiah Bing was an active community leader and environmental advocate who was an expert in Brownfield, subsurface infrastructure and waterfront remediation.  He served as an environmental adviser to elected officials, First Vice Chair of CB12, was a memb",
POINT (-73.94045235899995 40.71866310300004),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Brooklyn,Agustina Muniz Way,,At the intersection of Kingsland Avenue and Frost Street,11211,Gutiérrez,"Agustina Muniz was a part of the Cooper Park Houses family and was beloved by community members. For decades, she worked at the complex’s community center serving meals to children, ensuring that they did not leave the center without having a meal from",
POINT (-73.97657298199994 40.65529599800004),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Brooklyn,Aidan Seeger Way,,At the intersection of Prospect Avenue and Terrace Place,11218,Hanif,"Aidan Seeger was 7 years old when he died of adrenoleukodystrophy (ALD), a genetic disorder that mainly affects young boys and can be fatal within a year. However, with early detection, a bone marrow transplant can increase the chances of survival. As a",
POINT (-73.89689402399995 40.82100400300004),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,"Jose Miranda, Sr. Way",,At the intersection of East 163rd Street and Intervale Avenue,10459,Salamanca,"Born in Puerto Rico, Jose Miranda Sr. knew from an early age his dreams would lead him to the United States. Along with his brother, Julio Miranda, the brothers had dreams of owning their own business in hopes of providing a superior service to members o",
POINT (-73.91843216199999 40.872950408000065),Int. No. 931-A,04/20/2009,2009,2009/025,Intersection,Manhattan,Homer Young Kennedy Way,,At the southeast corner of Indian Road at West 218th Street,10034,Jackson,"Homer Young Kennedy was a resident of New York City for 25 years and contributed to the Inwood community.  He was responsible for locking and unlocking the Indian Road Playground and also contributed to the revival of Drums Along the Hudson, Uptown Arts",
POINT (-73.95397454199997 40.74277647000008),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Queens,Frank Carrado Way,,At the northeast corner of 50th Avenue and Vernon Boulevard,11101,Van Bramer,Frank Carrado was considered the unofficial mayor of Long Island City. He served in the United States Army and fought in the Korean War. He was a photographer who took pictures of the changing neighborhood throughout his entire life. Many of his photogra,
POINT (-74.14991543399998 40.54458233500003),Int. No. 746-A,12/29/2005,2005,2005/131,Intersection,Staten Island,Michael Herszdorfer Road,,NE corner of Hillcrest Avenue and Lindenwood Road,10308,Lanza,"Michael was a typical nine year old; exuberant, happy and filled with thoughts of school, family, play and sports.  Michael was very involved with activities in and out of school at PS #8, looked forward to joining Weeblos, and eventually working up to E",
POINT (-73.88813622099997 40.85477519500006),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Bronx,Teitel Brothers Lane,,At the intersection of Arthur Avenue and 186th Street,10458,Treyger,"Teitel Brothers Wholesale and Retail Grocery Company is located at 2372 Arthur Avenue in Little Italy of the Bronx.  A third generation, family owned and operated business, Teitel Brothers offer the finest Italian imported, gourmet specialty item",
POINT (-73.84314989399996 40.72078321600003),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Queens,Adelaide Connaughton Way,,At the southeast corner of Queens Boulevard and 71st Road,11375,Koslowitz,"Adelaide Connaughton was a long-time community activist who participated in New York City politics and civic activities since she was 15 years old. In high school, Ms. Connaughton worked as an intern for then Assistant Queens District Attorney, Geraldine",
POINT (-73.91463398699995 40.744472880000046),Int. No. 1449-A,03/18/2017,2017,2017/045,Intersection,Queens,Dolores Rizzotto Way,,At the intersection of 50th Street and 43rd Avenue,11377,Van Bramer,Dolores Rizzotto was a district manager for Community Board 2 who created a syringe exchange program to combat loose needles in the streets and was instrumental in bringing a veteran’s shelter to Borden Avenue.  She also started many toy drives at Chri,
POINT (-73.98390396199994 40.713201999000034),Int. No. 281-A,05/05/2004,2004,2004/008,Intersection,Manhattan,Ruth Winds Way,,the intersection of Madison Street and Gouverneur Street,10002,Lopez,"The life of Ruth Winds was one of many accomplishments, over several years, in the Lower East Side of Manhattan.  Ms. Winds was born on October 23, 1926 in Charleston, South Carolina and later relocated to a New York City Housing Authority Complex, Vlade",
POINT (-74.10797465299999 40.62417120300006),Int. No. 746-A,12/29/2005,2005,2005/131,Intersection,Staten Island,Nicholas Johs Way,,NE corner of Pelton and Whitewood Avenues,10310,McMahon,"Nicholas was a Cub Scout with Troop 26 at Castleton Hill Moravian Church.  He began as a Tiger Cub and eventually became a Boy Scout achieving the rank of First Class.  As a more experienced scout, he enjoyed his role as a Den Chief with the younger scou",
POINT (-73.95172432699997 40.70780394500008),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Brooklyn,John Mulhern Way,,At the intersection of South 4th Street and Hewes Street,11211,Reyna,"John Mulhern was very dedicated to the Williamsburg community.  He was involved with the preschoolers at Nuestros Ninos Child Development School, the Transfiguration Parish’s Basketball League, the Kiwanis Club and Brooklyn A for nearly 40 years.  He a",
POINT (-73.85826421299998 40.67812821200005),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Queens,Mary Ann Carey Way,,At the intersection of Glenmore Avenue and 79th Street,11417,Ariola,"Mary Ann Carey was born, raised, and lived much of her life at 106-27 79th Street. She was the quintessential and charismatic leader who served her community with honor, grace who dedicated her life to civic duty and service as a district manager for Com",
POINT (-74.12505290199994 40.62705732000006),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Staten Island,Monsignor Ferdinando Berardi Way,,At the intersection of Manor Road and Forest Avenue,10310,Hanks,"Monsignor Ferdinando Berardi was the pastor of Blessed Sacrament Parish, served as superior of Casa Santa Maria, pastor of Holy Family Parish, director of the archdiocesan Office for the Society of Propagation of the Faith, dean of the Catechetical Insti",
POINT (-73.89830471799996 40.862382842000045),Int. No. 620,02/05/2015,2015,2015/015,Intersection,Bronx,Oscar de la Renta Boulevard,,At the intersection of East Fordham Road and Creston Avenue adjacent to Muller Triangle,10468,Cabrera,"Oscar de la Renta was born in the Dominican Republic. At the age of 18, he studied painting in Madrid and later became one of the most sought-after names in haute couture. His flattering and feminine pieces inspired women all around the world, and his at",
POINT (-73.93904602799995 40.82168121300003),Int. No. 825,10/10/2008,2008,2008/048,Intersection,Manhattan,"Rev. Dr. Ollie B. Wells, Sr. Square",,"At the intersection of West 145th Street and Adam Clayton Powell, Jr. Boulevard",10039,Jackson,"Rev. Wells was senior pastor of the Union Baptist Church for 28 years.  Under Rev. Wells’ leadership, the Union Baptist Church provided services to the homeless and destitute, and advocated for affordable housing and the revitalization of Harlem.",
POINT (-73.88747348199996 40.855580485000075),Int. No. 1102-A,07/23/2023,2023,2023/110,Intersection,Bronx,Hon. Paul Victor Way,,At the intersection of 187th Street and Arthur Avenue,10458,Feliz,"Paul Victor served as a lieutenant in the United States Air Force and was stationed at the Air Force Missile Test Center at Patrick Air Force Pace in Cocoa Beach, Florida. Between 1959 and 1961, he was a law assistant to Judge Adrian Burke in the New Yor",
POINT (-73.94005244299996 40.83611527900007),Int. No. 620,02/05/2015,2015,2015/015,Intersection,Manhattan,Max Bond Way,,At the southeast corner of St. Nicholas and 162nd Street,10032,Rodriguez,"J. Max Bond was a prominent African-American architect who served as head of the Architects Renewal Committee of Harlem.  In 1970, he founded the firm of Bond Ryder & Associates which was responsible for the design of the Martin Luther King Jr. Center fo",
POINT (-73.92163790499995 40.67886689000005),Int. No. 958,12/04/2001,2001,2001/060,Intersection,Brooklyn,Chief Charles A. Joshua Plaza,,"The intersection of Fulton Street, Ralph Avenue and MacDougal Street",11233,"Boyland,  Fisher and Pinkett (by request of the Brooklyn Borough President), Foster, Nelson, O’Donovan, Robinson and Abel","The following biographical material was provided by the Merrick Park Baptist Church in Jamaica, New York. 

Chief Charles Adebowale Joshua was born in New York City on July 24, 1924, the son of Samuel and Ethel Joshua.  After graduation from Haaren High",
POINT (-73.88678176099995 40.85634526600006),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Bronx,Carl Reiner Lane,,At the intersection of Arthur Avenue and 188th Street,10458,Torres,"Carl Reiner was an actor, comedian, director, screenwriter, and author whose career spanned seven decades. He was part of Sid Caesar’s legendary team and went on to create “The Dick Van Dyke Show” and direct several hit films. He was born in the Br",
POINT (-74.08215839099995 40.601916035000045),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Staten Island,"Edward A. Tierney, Sr. Corner",,At the intersection of West Fingerboard Road and Clove Road,10305,Oddo,"In 1917, Edward A. Tierney, Sr. sailed abroad the first ship of United States Army Engineer units bound for Europe soon after the United States entered World War I.  As a color-guard sergeant, he served on various battle fields in France until the end of",
POINT (-74.07705062799994 40.641883921000044),Int. No. 2187,01/17/2021,2021,2021/014,Intersection,Staten Island,Hon. Vito J. Titone Way,,At the southeast corner of Hyatt Place and Central Avenue,10301,Rose,Hon. Vito J. Titone served as an Associate Judge of the New York Court of Appeals from 1985 to 1998. He taught law at Staten Island College and also St. John’s. He ran for the State Senate twice unsuccessfully but was elected to the State Supreme Court,
POINT (-74.15520167899996 40.54571728800005),Int. No. 620,02/05/2015,2015,2015/015,Intersection,Staten Island,FDNY Lt. Matt Ambelas Way,,At the intersection of Ramblewood Avenue and Oakdale Street,10308,Ignizio,"Matt Ambelas was a fourteen year FDNY veteran who was killed in the line of duty while putting out a fire in Williamsburg, Brooklyn.",
POINT (-73.90430899099994 40.85588998700007),Int. No. 556-A,06/14/2007,2007,2007/028,Intersection,Bronx,FF Michael C. Reilly Way,,Corner of Walton Avenue and Cameron Place,10453,Baez,"FF Michael C. Reilly always wanted to be a New York City firefighter.  Even at 4 years old, when his family moved to New Jersey, he complained it wasn’t Brooklyn, “where the action is.”  He seemed to have an almost predestined calling to put his li",
POINT (-73.78164387099997 40.73795804500003),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Queens,Sylvia Weprin Way,,At the intersection of 67th Avenue and 192nd Street,11365,Lee,"Sylvia Weprin, a native of Havana, Cuba, moved to Brooklyn at age 8. She attended Brooklyn College, where she met her husband, late Assembly Speaker Saul Weprin who served in the State legislature for 24 years. She was the first in her family to graduate",
POINT (-74.10976993599996 40.570453160000056),Int. No. 1227,08/03/2016,2016,2016/092,Intersection,Staten Island,Joe Manfredi Way,,At the intersection of Hylan Boulevard and New Dorp Lane,10306,Matteo,"Joe Manfredi came to New York from Italy in 1952 and began his career as a mechanic at Safe Rambler Motors in Brooklyn while attending night classes in automatic transmission repair.  He purchased Safe Rambler Motors and transformed it into Safe Toyota,",
POINT (-73.91448713599993 40.846436373000074),Int. No. 2477,01/15/2022,2022,2022/054,Intersection,Bronx,Thomasina Bushby Way,,At the intersection of 174th Street and Davidson Avenue,10453,Cabrera,"Thomasina Bushby was a community leader dedicated to improving the lives of her fellow Bronxites. She provided food for her community through her work with Southern Christian Leadership Conference, she worked to increase participation in politics and dev",
POINT (-74.00043793699996 40.73220178100007),Int. No. 849,08/10/2015,2015,2015/076,Intersection,Manhattan,Sgt. Charles H. Cochrane Way,,At the northwest corner of Washington Place and 6th Avenue,10011,Johnson,"Charles H. Cochrane was the first openly gay New York City Police Department officer.  In 1981, he testified at a City Council meeting in support of New York City’s gay rights bill. At the meeting, he testified that he was very proud of being a New Yor",
POINT (-73.88557609999998 40.66518451500008),Int. No. 1045-A,07/01/2013,2013,2013/050,Intersection,Brooklyn,African Burial Ground Square,,At the intersections of Barbey Street and New Lots Avenue,11207,Barron,"This co-naming will commemorate the burial ground for enslaved Africans in the area encompassing Schenck, New Lots and Livonia Avenues and Barbey Street in the borough of Brooklyn.",
POINT (-73.93811326199994 40.84690137800004),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Manhattan,Rafael Corporán de los Santos Way,,At the southeast corner of 176th Street and Broadway,10033,Rodriguez,"Rafael Corporán de los Santos was a TV producer, TV host, entrepreneur, political figure and philanthropist from the Dominican Republic.  He achieved notoriety through radio and television.  Through his radio show, he offered food products to his listen",
POINT (-73.80454937799993 40.694905290000065),Int. No. 480-A,08/14/2022,2022,2022/081,Intersection,Queens,Clara Belle Place,,At the intersection of Waltham Street and 105th Avenue,11435,Adams,Clara Louise Little Belle devoted twenty-five years to serving in-patient and out-patient clients and their families at Creedmore Psychiatric Center before becoming an entrepreneur and civic advocate. Ms. Belle opened her first fashion store of family ap,
POINT (-74.01397001699996 40.63815898800004),Int. No. 281-A,05/05/2004,2004,2004/008,Intersection,Brooklyn,Sisters of St. Joseph Boulevard,,the intersection 60th Street and 6th Avenue,11220,Gonzalez,The Sisters of St. Joseph are celebrating 100 years of quality educational service that they have given to the Sunset Park Community through their work at the Elementary School of Our Lady of Perpetual Help. The school was founded by the Redemptionists i,
POINT (-73.93365503899997 40.79438098300005),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Manhattan,Giglio Way,,At the southwest corner of East 115th Street and Pleasant Avenue,10029,Ayala,The Giglio Society of East Harlem dates back to 1908 when Italian immigrants continued their tradition from their hometown of Brusciano in Italy. Giglio is a 75-85 foot tall wooden structure adorned with patron saints and colorful flowers. They are built,
POINT (-73.83363797999993 40.64968498500008),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Queens,"Joseph “JoJo” DeToma, Jr. Way",,At the intersection of 97th Street and 165th Avenue,11414,Ariola,"Joseph DeToma, Jr died at the young age of 18 on November 21, 2021 after a 16-month battle with Diffuse Intrinsic Pontine Glioma, a rare pediatric brain tumor.  He was an avid soccer player, playing most of his life at Our Lady of Grace in Howard Beach,",
POINT (-74.07822954199997 40.642108095000026),Int. No. 897,03/19/2023,2023,2023/044,Intersection,Staten Island,Rev. James L. Seawood Way,,At the intersection of Fort Place and St. Mark’s Place,10301,Hanks,"James L. Seawood served as pastor of Brighton Heights Reformed Church in St. George and was a prominent community and civil rights activist. He earned an undergraduate degree from the University of Arkansas at Fayetteville, where he served as first presi",
POINT (-74.03225597599999 40.62773998900008),Int. No. 1825,01/19/2020,2020,2020/026,Intersection,Brooklyn,Father Paul Schneirla Way,,At the intersection of 81st Street and Ridge Boulevard,11209,Brannan,Father Paul Schneirla became pastor of St. Mary’s at its founding in 1951 and served continuously for over 50 years until his retirement in 2002. He was also a general board member of the National Council of Churches since the 1940’s and was the last,
POINT (-73.87581672199997 40.754793575000065),Int. No. 1744,12/01/2017,2017,2017/237,Intersection,Queens,NYS Assemblyman Ivan Lafayette Way,,At the northwest corner of 92nd Street and 34th Avenue,11372,Dromm,"Ivan Lafayette served over 30 years in the State Assembly and was a veteran of the United States Army.  Throughout his career, he advocated for schools, passed legislation that made it illegal to drive without insurance and was also one of the first elec",
POINT (-73.78504506999997 40.711562754000056),Int. No. 1045-A,07/01/2013,2013,2013/050,Intersection,Queens,Jefferson Diggs Way,,At the intersection of 88th Avenue and 178th Street,11432,Comrie,"Jefferson Diggs was born in Gary, West Virginia, and moved to Ohio where he attended high school and wrote for a local black newspaper called the Ohio State Sentinel.  He received an academic scholarship to Notre Dame University, however, left the Univer",
POINT (-73.84215525099995 40.70087140500004),Int. No. 620,02/05/2015,2015,2015/015,Intersection,Queens,Jack Maple Place,,At the intersection of 108th Street and Park Lane South,11418,Ulrich,"Jack Maple was the Deputy Commissioner for Crime Control Strategies in the mid-1990s who is best known for his creation of COMPSTAT and brought innovation, accountability and new crime fighting techniques to the NYPD.  COMPSTAT has become innovative in p",
POINT (-74.12496896199997 40.62898298300007),Int. No. 1103-A,12/28/2009,2009,2009/092,Intersection,Staten Island,Sergeant Gerald A. Johnson Corner,,At the intersection of Floyd Street and Raymond Place,10310,Mitchell,"Gerald A. Johnson fought in WWII in the 9th Infantry Division and was stationed in North Africa and Europe.  He was given numerous medals and citations including the Silver Star, Bronze Star/Cluster and Arrow Head and two Purple Hearts.  He was also give",
POINT (-74.13177640799995 40.60556150200006),Int. No. 877-A,12/29/2008,2008,2008/064,Intersection,Staten Island,William E. Rios Circle,,At the corner of Westwood Avenue and Bradley Avenue,10314,Oddo,"William E. Rios was killed by a stray gunshot in Castleton Corners.  He completed trade school at the New York School of Seamanship in Mariners Harbor and worked seasonally for the United Parcel Service and during the summer of 2007, worked with youth in",
